agency,item,quantity,datereceived,totalcost
HOWELL TOWNSHIP POLICE DEPT,"POUCH,INDIVIDUAL FIRST AID KIT",78,10/22/14,$987.48 
HOWELL TOWNSHIP POLICE DEPT,"POUCH,M4 THREE MAG",83,10/22/14,"$1,800.27 "
HOWELL TOWNSHIP POLICE DEPT,"POUCH,FLASH BANG GRENADE",40,10/22/14,$210.40 
HOWELL TOWNSHIP POLICE DEPT,"POUCH,HAND GRENADE",83,10/22/14,$421.64 
HOWELL TOWNSHIP POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",2,10/30/14,"$19,844.50 "
HOWELL TOWNSHIP POLICE DEPT,GYM,2,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,"BICYCLE, EXERCISE",2,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,4,10/30/14,"$1,345.32 "
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,2,10/30/14,$672.66 
HOWELL TOWNSHIP POLICE DEPT,RIFLEMAN SET,1,10/30/14,$336.33 
HOWELL TOWNSHIP POLICE DEPT,BINOCULARS,5,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,"SPECTACLES,INDUSTRIAL",35,10/30/14,"$1,941.80 "
HOWELL TOWNSHIP POLICE DEPT,"SPECTACLE,COMBO PACK,UVEX GENESIS",35,10/30/14,"$1,436.40 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,"CHAIR, UPHOLSTERED",50,11/26/13,"$2,500.00 "
JACKSON TWP POLICE DEPT,"MANIKIN,RESUSCITATION TRAINING",1,5/22/14,$820.65 
JACKSON TWP POLICE DEPT,"CAMERA SYSTEM,CCTV",1,5/22/14,$672.00 
JACKSON TWP POLICE DEPT,"LITTER,RIGID,STOKES",4,5/22/14,"$2,952.00 "
JACKSON TWP POLICE DEPT,FIELD PACK,10,5/22/14,"$2,288.90 "
JACKSON TWP POLICE DEPT,"OUTERWEAR, MEN'S",20,5/22/14,$380.00 
JACKSON TWP POLICE DEPT,"LAWN MOWER, RIDING",1,5/22/14,"$11,157.00 "
JACKSON TWP POLICE DEPT,"TRACTORS, WHEELED",1,5/22/14,"$22,506.00 "
JACKSON TWP POLICE DEPT,TRAINING AIDS,1,5/22/14,"$1,815.00 "
JACKSON TWP POLICE DEPT,"COT,FOLDING",15,5/22/14,"$1,470.15 "
JACKSON TWP POLICE DEPT,FLAT PANEL MONITOR,75,5/22/14,"$16,875.00 "
JACKSON TWP POLICE DEPT,"LADDER, SCAFFOLDING EQUIP, CONCRETE FORM",7,5/22/14,$525.00 
JACKSON TWP POLICE DEPT,"TRAILER,RECYCLING SYSTEM",1,5/22/14,"$7,500.00 "
JACKSON TWP POLICE DEPT,"TRAILER,RECYCLING SYSTEM",1,5/22/14,"$7,500.00 "
JACKSON TWP POLICE DEPT,"INTRENCHING TOOL,HAND",50,5/22/14,"$5,910.50 "
JACKSON TWP POLICE DEPT,WHEEL AND RUNFLAT,1,5/22/14,"$1,343.00 "
JACKSON TWP POLICE DEPT,"TRUCK,CARGO",1,5/22/14,"$75,278.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,TRUCK TRACTOR,2,5/22/14,"$151,107.76 "
JACKSON TWP POLICE DEPT,"MEDICAL MATERIEL SET,PHYSICAL OCCUPATIONAL THERAPY-2005",1,5/22/14,"$73,565.89 "
JACKSON TWP POLICE DEPT,"MEDICAL MATERIEL SET,PHYSICAL-OCCUPATIONAL THERAPY,DEPLOYABLE MEDICAL S",1,5/22/14,"$37,296.73 "
JACKSON TWP POLICE DEPT,"MEDICAL MATERIEL SET,MINIMAL CARE WARD-2005",4,5/22/14,"$268,690.80 "
JACKSON TWP POLICE DEPT,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,8/5/14,"$6,868.79 "
JACKSON TWP POLICE DEPT,"COOLER,AIR,EVAPORATIVE",1,8/5/14,"$1,941.90 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
JACKSON TWP POLICE DEPT,"TRUCK,CARGO",1,8/19/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"TRUCK,CARGO",1,9/2/14,"$67,139.00 "
JACKSON TWP POLICE DEPT,"TRUCK,CARGO",1,9/5/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"TRUCK,CARGO",1,9/2/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,TENT,40,9/10/14,"$14,726.40 "
JACKSON TWP POLICE DEPT,"TENT,COMBAT,TWO MAN",30,9/2/14,"$10,983.60 "
JACKSON TWP POLICE DEPT,"GOGGLES,BALLISTIC",100,9/2/14,"$4,386.00 "
JACKSON TWP POLICE DEPT,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",2,9/10/14,"$26,188.00 "
JACKSON TWP POLICE DEPT,"TRUCK,LIFT,FORK",1,9/10/14,"$72,370.00 "
JACKSON TWP POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",1,9/10/14,"$10,700.00 "
JACKSON TWP POLICE DEPT,"GRADER,ROAD,MOTORIZED",1,9/17/14,"$67,724.00 "
JACKSON TWP POLICE DEPT,"POWER STRIP,ELECTRICAL OUTLET",100,9/24/14,"$8,900.00 "
JACKSON TWP POLICE DEPT,CONTAINER FOR REFRI,1,9/17/14,"$19,547.36 "
JACKSON TWP POLICE DEPT,"CHEST,AMMUNITION",168,10/17/14,"$1,864.80 "
JACKSON TWP POLICE DEPT,"SHIPPING AND STORAGE CONTAINER,CARTRIDGE",10,10/17/14,$300.00 
JACKSON TWP POLICE DEPT,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,"TELESCOPE,STRAIGHT",2,4/7/12,"$1,712.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,11/26/13,"$63,682.00 "
JACKSON TWP POLICE DEPT,"TRUCK,UTILITY",1,11/21/13,"$63,682.00 "
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
JERSEY CITY POLICE DEPT,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
KEANSBURG POLICE DEPT,"TRUCK,UTILITY",1,12/18/13,"$41,061.00 "
KEANSBURG POLICE DEPT,"TRUCK,UTILITY",1,12/18/13,"$41,061.00 "
KEANSBURG POLICE DEPT,"TRUCK,UTILITY",1,12/18/13,"$41,061.00 "
KEANSBURG POLICE DEPT,BALLISTIC BLANKET,2,11/26/13,"$9,522.52 "
KEANSBURG POLICE DEPT,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,12/19/13,"$23,731.00 "
KEANSBURG POLICE DEPT,"BORELIGHT SYSTEM,LASER",1,11/26/13,$658.00 
KEANSBURG POLICE DEPT,"BORELIGHT SYSTEM,LASER",1,11/26/13,$658.00 
KEANSBURG POLICE DEPT,"GENERATOR SET,DIESEL ENGINE",3,11/26/13,"$9,974.82 "
KEANSBURG POLICE DEPT,"GOGGLES,BALLISTIC",33,12/19/13,"$1,447.38 "
KEANSBURG POLICE DEPT,"CABLE  ASSEMBLY,POWER,ELECTRICAL",1,12/19/13,$283.72 
KEANSBURG POLICE DEPT,"LOADER,SCOOP TYPE",1,12/19/13,"$128,900.00 "
KEANSBURG POLICE DEPT,FLAT PANEL MONITOR,7,1/15/14,"$1,575.00 "
KEANSBURG POLICE DEPT,"TRUCK,CARRYALL",1,1/15/14,"$25,718.00 "
KEANSBURG POLICE DEPT,TRUCK TRACTOR,2,2/15/14,"$151,107.76 "
KEANSBURG POLICE DEPT,"VISOR,SUN,VEHICLE",1,3/8/14,$185.52 
KEANSBURG POLICE DEPT,"TRUCK,MAINTENANCE",1,3/3/14,"$70,280.00 "
KEANSBURG POLICE DEPT,"TOOL KIT,GENERAL MECHANIC'S",3,8/15/14,"$5,415.00 "
KEANSBURG POLICE DEPT,"LIFE PRESERVER,VEST",40,8/29/14,"$9,666.00 "
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
KEARNY POLICE DEPT,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
