agency,county,item,quantity,date_received,total_cost
BELMAR POLICE DEPT,MONMOUTH,"BOAT,LANDING,INFLATABLE",4,4/16/14,"$70,344.00 "
BELMAR POLICE DEPT,MONMOUTH,DESK,2,4/16/14,$500.00 
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",1,4/16/14,$125.00 
BELMAR POLICE DEPT,MONMOUTH,"LIGHT SET,GENERAL ILLUMINATION",14,4/16/14,"$12,999.98 "
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",1,4/16/14,$50.00 
BELMAR POLICE DEPT,MONMOUTH,"GENERATOR SET,DIESEL ENGINE",6,4/16/14,"$76,786.20 "
BELMAR POLICE DEPT,MONMOUTH,"TRAILER,TANK",1,4/16/14,"$7,787.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,DUMP",1,4/16/14,"$72,425.00 "
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, UPHOLSTERED",37,4/16/14,"$4,625.00 "
BELMAR POLICE DEPT,MONMOUTH,"SAFETY GLASSES,REVISION SAWFLY EYEWEAR SYSTEM,REGULAR",37,4/16/14,"$2,065.34 "
BELMAR POLICE DEPT,MONMOUTH,"TRAILER,CARGO",2,4/16/14,"$17,048.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRACTOR,WHEELED,INDUSTRIAL",1,4/16/14,"$110,000.00 "
BELMAR POLICE DEPT,MONMOUTH,TRUCK TRACTOR,1,4/16/14,"$138,870.00 "
BELMAR POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",4,4/16/14,"$52,376.00 "
BELMAR POLICE DEPT,MONMOUTH,FLAT PANEL MONITOR,85,1/24/14,"$19,125.00 "
BELMAR POLICE DEPT,MONMOUTH,"KNIFE,COMBAT,WITH SHEATH",100,1/24/14,"$3,579.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRAILER,FLAT BED",1,7/21/14,"$14,423.00 "
BELMAR POLICE DEPT,MONMOUTH,BATTERY CHARGER,4,7/21/14,"$3,120.00 "
BELMAR POLICE DEPT,MONMOUTH,BATTERY CHARGER,25,7/21/14,"$3,750.00 "
BELMAR POLICE DEPT,MONMOUTH,"SHELTER,NONEXPANDABLE",1,7/21/14,"$13,262.00 "
BELMAR POLICE DEPT,MONMOUTH,HANDSET,29,7/21/14,"$4,640.00 "
BELMAR POLICE DEPT,MONMOUTH,"RADIO, NON-AIRBORNE",34,7/21/14,"$92,242.00 "
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,LIFT,FORK",1,7/21/14,"$72,370.00 "
BELMAR POLICE DEPT,MONMOUTH,"KITCHEN,FIELD,TRAILER MOUNTED",1,7/21/14,"$145,000.00 "
BELMAR POLICE DEPT,MONMOUTH,"CAMERA  SYSTEM,RECONNAISSANCE",2,7/21/14,"$10,294.90 "
BELMAR POLICE DEPT,MONMOUTH,"CAMERA  SYSTEM,RECONNAISSANCE",1,7/21/14,"$8,450.00 "
BELMAR POLICE DEPT,MONMOUTH,"CAMERA  SYSTEM,RECONNAISSANCE",1,7/21/14,"$8,450.00 "
BELMAR POLICE DEPT,MONMOUTH,"EXTINGUISHER,FIRE",100,7/24/14,"$14,139.00 "
BELMAR POLICE DEPT,MONMOUTH,TRAILER,1,7/21/14,"$7,489.00 "
BELMAR POLICE DEPT,MONMOUTH,"RADIO, NON-AIRBORNE",10,7/21/14,"$36,583.40 "
BELMAR POLICE DEPT,MONMOUTH,FILE CABINET,3,8/6/14,$375.00 
BELMAR POLICE DEPT,MONMOUTH,FILE CABINET,6,8/6/14,$750.00 
BELMAR POLICE DEPT,MONMOUTH,"CHAIR, OFFICE",30,8/5/14,"$2,250.00 "
BELMAR POLICE DEPT,MONMOUTH,"TOOL KIT,CARPENTER'S",1,8/6/14,"$8,116.10 "
BELMAR POLICE DEPT,MONMOUTH,"SETS, KITS, AND OUTFITS OF HAND TOOLS",1,8/5/14,$500.00 
BELMAR POLICE DEPT,MONMOUTH,REFRIGERATOR,1,8/6/14,$300.00 
BELMAR POLICE DEPT,MONMOUTH,"TRUCK,VAN",1,8/5/14,"$33,082.00 "
BELMAR POLICE DEPT,MONMOUTH,SMALL FIELD REFRIGERATION SYSTEM,1,9/3/14,"$23,250.00 "
BELMAR POLICE DEPT,MONMOUTH,"TOOL SET,SATS,MOD 1",1,8/5/14,"$29,916.20 "
BELMAR POLICE DEPT,MONMOUTH,SIGN PAINTING SET,1,8/5/14,$292.95 
BELMAR POLICE DEPT,MONMOUTH,"TOOL KIT,CARPENTER'S",1,8/5/14,"$1,252.00 "
BELMAR POLICE DEPT,MONMOUTH,"BLANKET,BED",32,8/6/14,"$1,127.36 "
