agency,address,county,item,quantity,date_received,total_cost
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/10/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,M16 ASSAULT RIFLE,1,4/9/14,$499.00 
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,"TRUCK,LIFT,FORK",1,10/2/14,"$72,370.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,"TRUCK,UTILITY",1,9/1/14,"$41,061.00 "
BERKELEY TOWNSHIP POLICE DEPT,"631 Pinewald Keswick Rd, Bayville, NJ 08721",OCEAN,"TRUCK,UTILITY",1,9/1/14,"$47,023.00 "
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BERLIN TOWNSHIP POLICE DEPT,"135 Route 73 South, West Berlin NJ 08091",CAMDEN,M16 ASSAULT RIFLE,1,1/29/14,$499.00 
BLOOMFIELD POLICE DEPT,"1 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"2 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
BLOOMFIELD POLICE DEPT,"3 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
BLOOMFIELD POLICE DEPT,"4 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"5 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
BLOOMFIELD POLICE DEPT,"6 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M14 ASSAULT RIFLE,1,4/15/14,$138.00 
BLOOMFIELD POLICE DEPT,"7 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BLOOMFIELD POLICE DEPT,"8 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"9 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"10 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
BLOOMFIELD POLICE DEPT,"11 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
BLOOMFIELD POLICE DEPT,"12 Municipal Plaza, Bloomfield NJ 07003",ESSEX,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",MONMOUTH,"GOGGLES,INDUSTRIAL",15,10/27/14,$929.40 
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",MONMOUTH,"TRUCK,LIFT,FORK",1,10/27/14,"$72,370.00 "
BOROUGH OF BRIELLE,"601 Union Lane, Brielle, NJ 08730",MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$50,458.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,M16 ASSAULT RIFLE,1,2/12/14,$499.00 
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,TRUCK TRACTOR,1,2/15/14,"$75,553.88 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,TRUCK TRACTOR,1,9/19/14,"$86,203.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,ARMORED",1,5/2/14,"$65,070.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/21/14,"$43,376.00 "
BRICK TOWNSHIP POLICE DEPT,"401 Chambersbridge Rd, Brick, NJ 08723",OCEAN,"TRUCK,UTILITY",1,2/15/14,"$50,458.00 "
