agency,address,latitude,longitude,county,item,quantity,date,cost
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
GLOUCESTER CITY POLICE DEPT,"313 Monmouth St, Gloucester City, New Jersey 08030",39.89798457,-75.12343045,CAMDEN,M16 ASSAULT RIFLE,1,4/23/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HAMMONTON POLICE DEPT,"100 E Central Ave, Hammonton, NJ 08037",39.63441,-74.7873849,ATLANTIC,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
HARDING TOWNSHIP POLICE DEPT,"21 Blue Mill Road, New Vernon, NJ  07976",40.74701508,-74.49137729,MORRIS,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
HARDING TOWNSHIP POLICE DEPT,"21 Blue Mill Road, New Vernon, NJ  07976",40.74701508,-74.49137729,MORRIS,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
HARDING TOWNSHIP POLICE DEPT,"21 Blue Mill Road, New Vernon, NJ  07976",40.74701508,-74.49137729,MORRIS,M14 ASSAULT RIFLE,1,4/24/14,$138.00 
HARRINGTON PARK POLICE DEPT,"49 Laroche Ave, Harrington Park, NJ 07640",40.406408,-74.225624,BERGEN,M14 ASSAULT RIFLE,1,4/30/14,$138.00 
HARRINGTON PARK POLICE DEPT,"49 Laroche Ave, Harrington Park, NJ 07640",40.406408,-74.225624,BERGEN,M14 ASSAULT RIFLE,1,4/30/14,$138.00 
HARRINGTON PARK POLICE DEPT,"49 Laroche Ave, Harrington Park, NJ 07640",40.406408,-74.225624,BERGEN,M16 ASSAULT RIFLE,1,4/30/14,$499.00 
HARRINGTON PARK POLICE DEPT,"49 Laroche Ave, Harrington Park, NJ 07640",40.406408,-74.225624,BERGEN,M16 ASSAULT RIFLE,1,4/30/14,$499.00 
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,M14 ASSAULT RIFLE,1,4/11/14,$138.00 
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,M14 ASSAULT RIFLE,1,4/11/14,$138.00 
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,M14 ASSAULT RIFLE,1,4/11/14,$138.00 
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,LIFT,FORK",1,9/2/14,"$72,370.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,9/6/14,"$41,061.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,9/6/14,"$41,061.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,9/5/14,"$47,023.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,10/16/14,"$41,061.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,10/16/14,"$41,061.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,UTILITY",1,10/14/14,"$20,000.00 "
HARRISON TOWNSHIP POLICE DEPT,"137 N Main St, Mullica Hill, NJ 08062",39.7399942,-75.2248453,GLOUCESTER,"TRUCK,VAN",1,9/25/14,"$124,607.00 "
HASBROUCK HEIGHTS POLICE DEPT,"248 Hamilton Ave, Hasbrouck Hts, NJ 07604",40.86052247,-74.07747929,BERGEN,"TRUCK,LIFT,FORK",1,10/27/14,$0.00 
HASBROUCK HEIGHTS POLICE DEPT,"248 Hamilton Ave, Hasbrouck Hts, NJ 07604",40.86052247,-74.07747929,BERGEN,"TRUCK,UTILITY",1,10/2/14,"$41,061.00 "
HASBROUCK HEIGHTS POLICE DEPT,"248 Hamilton Ave, Hasbrouck Hts, NJ 07604",40.86052247,-74.07747929,BERGEN,"TRUCK,UTILITY",1,10/2/14,"$88,634.00 "
HASBROUCK HEIGHTS POLICE DEPT,"248 Hamilton Ave, Hasbrouck Hts, NJ 07604",40.86052247,-74.07747929,BERGEN,"TRUCK,UTILITY",1,10/2/14,"$88,634.00 "
HASBROUCK HEIGHTS POLICE DEPT,"248 Hamilton Ave, Hasbrouck Hts, NJ 07604",40.86052247,-74.07747929,BERGEN,"TRUCK,VAN",1,10/16/14,"$111,395.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,BINOCULAR,4,9/30/14,$196.68 
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"GOGGLES,INDUSTRIAL",30,9/5/14,"$1,718.40 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"TRUCK,DUMP",1,9/26/14,"$175,923.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"TRUCK,LIFT,FORK",1,9/26/14,"$72,370.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"TRUCK,UTILITY",1,9/11/14,"$41,061.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"TRUCK,UTILITY",1,9/22/14,"$41,061.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"TRUCK,UTILITY",1,9/26/14,"$41,061.00 "
HAZLET TOWNSHIP POLICE DEPT,"1766 Union Avenue, Hazlet NJ 07730",40.42209606,-74.15928055,MONMOUTH,"VIEWER KIT,NIGHT VISION",2,11/5/14,"$5,229.60 "
HI NELLA POLICE DEPT,"100 Wykagyl Road, Hi Nella, New Jersey 08083",40.406408,-74.225624,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
HI NELLA POLICE DEPT,"100 Wykagyl Road, Hi Nella, New Jersey 08083",40.406408,-74.225624,CAMDEN,M14 ASSAULT RIFLE,1,4/23/14,$138.00 
HIGHLANDS BOROUGH POLICE DEPT,"171 Bay Ave, Highlands, NJ 07732",40.40154885,-73.98703003,MONMOUTH,"TRUCK,UTILITY",1,4/18/14,"$50,458.00 "
HOWELL TOWNSHIP POLICE DEPT,"300 Old Tavern Rd, Howell, NJ 07731",40.17067559,-74.17595916,MONMOUTH,BINOCULARS,5,10/30/14,$0.00 
HOWELL TOWNSHIP POLICE DEPT,"300 Old Tavern Rd, Howell, NJ 07731",40.17067559,-74.17595916,MONMOUTH,"TRUCK,CARGO",1,8/29/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"GOGGLES,BALLISTIC",100,9/2/14,"$4,386.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M14 ASSAULT RIFLE,1,11/26/13,$138.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/28/14,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,4/22/14,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,M16 ASSAULT RIFLE,1,11/26/13,$499.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"SIGHT,REFLEX",1,4/21/14,$340.00 
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,TRUCK TRACTOR,2,5/22/14,"$151,107.76 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,5/22/14,"$75,278.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,8/19/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,9/2/14,"$67,139.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,9/5/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,CARGO",1,9/2/14,"$72,040.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,LIFT,FORK",1,9/10/14,"$72,370.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$41,061.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,5/22/14,"$50,458.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,9/18/14,"$41,061.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,11/26/13,"$63,682.00 "
JACKSON TWP POLICE DEPT,"102 Jackson Dr, Jackson, NJ 08527",40.406408,-74.225624,OCEAN,"TRUCK,UTILITY",1,11/21/13,"$63,682.00 "
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/16/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/17/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M14 ASSAULT RIFLE,1,4/22/14,$138.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/17/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/16/14,$499.00 
JERSEY CITY POLICE DEPT,"1 Journal Square Plaza, Jersey City, NJ 07306",40.731041,-74.064152,HUDSON,M16 ASSAULT RIFLE,1,4/15/14,$499.00 
