agency,county,item,quantity,cost,date
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BERGEN,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,2/15/13
,BERGEN,"TRUCK,ARMORED",1,"$65,070.00",3/21/13
,BERGEN,"TRUCK,CARGO",1,"$67,139.00",2/28/14
,BERGEN,"TRUCK,CARGO",1,"$67,139.00",2/28/14
,BERGEN,"TRUCK,UTILITY",1,"$47,989.00",2/28/14
,BERGEN,"TRUCK,UTILITY",1,"$47,455.00",2/28/14
,BERGEN,"TRUCK,UTILITY",1,"$47,455.00",2/28/14
,BERGEN,"HELMET,GROUND TROOP",10,$150.29,12/6/94
,BERGEN,"MASK,CHEMICAL-BIOLO",35,$93.32,4/18/95
,BERGEN,"BODY ARMOR,FRAGMENT",1,$32.00,4/25/95
,BERGEN,"MAGAZINE,CARTRIDGE ",20,$9.31,3/20/97
,BERGEN,"BODY ARMOR,FRAGMENT",4,$35.92,6/5/97
,BERGEN,"MASK,CHEMICAL-BIOLO",7,$93.32,6/5/97
,BERGEN,"MASK,CHEMICAL-BIOLO",7,$93.32,6/11/97
,BERGEN,"MASK,CHEMICAL-BIOLO",8,$199.33,6/11/97
,BERGEN,"HELMET,GROUND TROOP",1,$150.29,9/25/97
,BERGEN,"BODY ARMOR,FRAGMENT",7,$36.26,10/1/97
,BERGEN,"TRUCK, VAN",1,"$14,173.00",1/21/98
,BERGEN,"HELMET,GROUND TROOP",4,$150.29,12/22/99
,BERGEN,"HELMET,GROUND TROOP",4,$150.29,12/22/99
BURLINGTON POLICE DEPARTMENT,BURLINGTON,TYPEWRITER,1,$300.00,12/4/97
CINNAMINSON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,FLAT PANEL MONITOR,10,$0.00,12/11/13
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON, PROJECTOR,1,$300.00,12/26/01
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,EMERENCY  LAMP,15,$120.00,12/26/01
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,STEEL TABLE,1,$150.00,12/26/01
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,ADP EQUIPMENT,6,$12.00,1/9/02
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,HANDTRUCK,1,$50.00,1/9/02
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,PRINTER,1,$5.00,1/9/02
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,PRINTER,1,$50.00,2/20/02
MAPLE SHADE POLICE DEPARTMENT,BURLINGTON,"PROJECTOR, OVERHEAD",1,$300.00,2/20/02
MOUNT HOLLY POLICE DEPARTMENT,BURLINGTON,COMPUTER LAPTOP,1,"$7,000.00",3/1/96
MOUNT HOLLY POLICE DEPARTMENT,BURLINGTON,CHEVY,1,"$7,773.00",10/10/96
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,TRAFFIC AND TRANSIT SIGNAL SYSTEMS,1,"$2,500.00",5/17/13
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,FLAT PANEL MONITOR,12,$0.00,12/17/13
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"ALL TERRAIN VEHICLE, 4 WHEEL",1,$0.00,1/27/14
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"ALL TERRAIN VEHICLE, 4 WHEEL",1,$0.00,1/27/14
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"TRACTORS, WHEELED",1,$0.00,2/6/14
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"WIRE,CABLE",1,$206.25,2/6/14
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,DIESEL GENERATOR,1,$0.00,2/6/14
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,DESK,2,$311.00,11/16/95
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"TRUCK,LIFT,FORK    ",1,"$61,544.62",2/15/12
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,DODGE DAKOTA PICKUP,1,"$15,000.00",3/16/12
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"VEHICLE,ALL-TERRAIN",2,"$5,694.11",4/2/12
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"GENERATOR SET,DIESE",1,"$14,891.00",4/5/12
PEMBERTON TOWNSHIP POLICE DEPARTMENT,BURLINGTON,"CABLE ASSEMBLY,POWE",1,$272.87,5/23/12
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,BOOTS,10,$18.00,8/6/96
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,COAT,2,$52.00,8/6/96
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,"COAT,COLD WEATHER",8,$61.90,8/6/96
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,TROUSER,30,$24.00,8/6/96
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,BLANKET,24,$32.65,2/24/00
WILLINGBORO  POLICE DEPARTMENT,BURLINGTON,CHEST AMMUNITION,24,$5.99,2/24/00
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,5/19/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,8/22/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,8/22/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,8/22/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,8/25/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,8/25/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,9/30/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"RIFLE,5.56 MILLIMETER",1,$499.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"SHOTGUN,12 GAGE,RIOT TYPE",1,$108.00,10/1/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,BURLINGTON,"TRUCK,UTILITY",1,"$47,989.00",11/26/13
,BURLINGTON,"TRUCK,UTILITY",1,"$47,989.00",1/24/14
,BURLINGTON,TRUCK TRACTOR,2,"$75,553.88",1/31/14
,BURLINGTON,PICKUP,1,$0.00,2/6/14
,BURLINGTON,PICKUP,1,$0.00,3/3/14
,BURLINGTON,TRUCKS AND TRUCK TRACTORS,1,$0.00,3/3/14
,BURLINGTON,"FILTER ELEMENT SET,",198,$20.42,9/19/96
,BURLINGTON,"MASK,CHEMICAL-BIOLO",30,$93.32,9/19/96
,BURLINGTON,"TRUCK, UTILITY",1,"$17,018.00",2/12/97
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,CPU,1,$858.00,7/8/95
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,LAPTOP,1,$300.00,7/8/95
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,"COMPUTER, LAPTOP",1,$800.00,5/2/96
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,"SUIT,CHEMICAL PROTE",36,$42.02,1/14/97
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,BODY ARMOR,5,$32.00,3/13/97
GLOUCESTER CITY POLICE DEPARTMENT,CAMDEN,"SYSTEM, SURVAILLANCE",1,"$20,000.00",3/14/97
GLOUCESTER TOWNSHIP POLICE DEPARTMENT,CAMDEN,COMPUTER,1,"$4,994.00",3/4/96
GLOUCESTER TOWNSHIP POLICE DEPARTMENT,CAMDEN,MONITOR,5,$50.00,3/4/96
GLOUCESTER TOWNSHIP POLICE DEPARTMENT,CAMDEN,BODY ASRMOR,5,$32.00,3/11/97
HADDON TOWNSHIP POLICE DEPARTMENT,CAMDEN,"TOOL KIT, REPAIRMAN'S, SMALL ARMS",2,$885.00,6/10/98
HI NELLA POLICE DEPARTMENT,CAMDEN,BODY ARMOR,3,$350.00,11/22/02
HI NELLA POLICE DEPARTMENT,CAMDEN,"CHARGERS, RADIO",1,$140.00,11/27/02
HI NELLA POLICE DEPARTMENT,CAMDEN,BINOCULAR,1,$550.00,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,CAMERATRIPOD,1,$408.00,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,FAX COPIER,1,$625.00,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,FILE CABINET,1,$150.00,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,FILING CABINET,1,"$2,182.00",1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,"PAD,WRITING PAPER",3,$10.80,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,SHREDDER,1,"$4,955.00",1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,TV,2,$895.00,1/9/03
HI NELLA POLICE DEPARTMENT,CAMDEN,TV VCR CHB,1,$650.00,1/9/03
USMS CAMDEN,CAMDEN,"PICTURE PACK, RAPID PROCESSING, PHOTO",46,$28.15,6/10/96
USMS CAMDEN,CAMDEN,"GLOVE SET,CHEMICAL ",72,$23.00,4/2/97
USMS CAMDEN,CAMDEN,"PICTURE PACK, RAPID PROCESSING, PHOTO",282,$28.15,4/2/97
USMS CAMDEN,CAMDEN,BOOT,24,$30.00,4/3/97
USMS CAMDEN,CAMDEN,BOOT,24,$64.00,4/3/97
USMS CAMDEN,CAMDEN,QTHERMAL UNDERWEAR,84,$4.00,4/3/97
WOODLYNNE POLICE DEPARTMENT,CAMDEN,GAS CAN,1,$68.00,10/19/94
