agency,county,item,quantity,cost,date
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/3/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/9/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/10/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/17/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/17/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/17/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/17/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/20/08
,MORRIS,"RIFLE,5.56 MILLIMETER",1,$499.00,10/20/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,10/27/08
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"RIFLE,7.62 MILLIMETER",1,$138.00,3/1/11
,MORRIS,"HELMET,GROUND TROOP",10,$148.87,2/1/95
,MORRIS,"HELMET,GROUND TROOP",12,$150.29,2/2/95
,MORRIS,"HELMET,GROUND TROOP",10,$148.87,2/7/95
,MORRIS,"BODY ARMOR,FRAGMENT",3,$203.92,2/23/95
,MORRIS,"HELMET,GROUND TROOP",12,$148.87,2/24/95
,MORRIS,"MASK,CHEMICAL-BIOLO",1,$93.32,3/23/95
,MORRIS,"MASK,CHEMICAL-BIOLO",6,$93.32,5/31/95
,MORRIS,BINOCULAR          ,1,$342.00,6/27/95
,MORRIS,"FILTER ELEMENT SET,",50,$20.74,7/31/95
,MORRIS,BODY ARMOR,4,$367.10,12/1/95
,MORRIS,"MAGAZINE,CARTRIDGE ",25,$9.31,4/24/96
,MORRIS,"MAGAZINE,CARTRIDGE ",25,$9.31,4/24/96
,MORRIS,"CARRIER, FIELD CHEMI",30,$15.25,8/11/96
,MORRIS,"MASK,CHEMICAL-BIOLO",2,$93.32,10/16/96
,MORRIS,"MASK,CHEMICAL-BIOLO",7,$93.32,11/6/96
,MORRIS,"MASK,CHEMICAL-BIOLO",17,$93.32,11/6/96
,MORRIS,"HELMET,GROUND TROOP",18,$150.29,11/7/96
,MORRIS,"HELMET,GROUND TROOP",5,$150.29,11/12/96
,MORRIS,CARRIER,30,$16.25,11/14/96
,MORRIS,"HELMET,GROUND TROOP",10,$150.29,3/7/97
,MORRIS,TRUCK CARGO,1,"$6,100.00",5/29/02
,MORRIS,BOAT 33 FOOT,1,"$14,867.00",10/18/02
,MORRIS,"TRUCK,CARGO        ",1,"$54,253.00",9/19/06
,MORRIS,"TRUCK,CARGO        ",1,"$54,253.00",9/19/06
,MORRIS,MOBILE DATA VAN,1,$0.00,10/6/06
BARNEGAT TOWNSHIP POLICE DEPARTMENT,OCEAN,BINOCULAR          ,1,$960.00,1/25/95
BAY HEAD POLICE  DEPARTMENT,OCEAN,CANVAS TENT & CABLOVER,2,$100.00,9/23/99
BEACHWOOD POLICE DEPARTMENT,OCEAN,FILE CABINET,2,$300.00,9/17/99
BERKELEY TOWNSHIP POLICE DEPARTMENT,OCEAN,FILE CABINET,2,$300.00,10/1/99
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"CAP,TRUCK,MOUNTING",1,"$31,392.00",1/24/11
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,DISPLAY UNIT,1,$0.00,1/14/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,"$14,891.00",2/7/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,"$14,891.00",2/7/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,GENERATOR,1,"$55,000.00",3/20/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,TRANSFORMER,1,"$14,406.00",3/22/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,FLAT PANEL MONITOR,15,$0.00,12/17/13
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"SHELTER,INFLATABLE,",1,"$8,428.40",1/28/00
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"FLOODLIGHT SET,ELEC",6,"$1,606.77",11/10/08
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,COMMUNICATION SYSTE,1,"$710,577.00",12/4/08
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"BIVOUAC SYSTEM,MODU",1,"$81,815.00",2/11/09
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESE",1,"$20,039.00",2/17/09
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESE",1,"$20,039.00",2/17/09
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"COPYBOARD,ELECTRONI",1,"$5,394.81",4/7/10
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,"COPYBOARD,ELECTRONI",1,"$5,394.81",4/7/10
BRICK TOWNSHIP POLICE DEPARTMENT,OCEAN,PICNIC TABLE,12,$383.00,1/19/11
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"CHAIR, UPHOLSTERED",50,$0.00,11/13/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"CAMERA SYSTEM,CCTV",1,$672.00,11/21/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,FIELD PACK,10,$228.89,11/21/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"LITTER,RIGID,STOKES",4,$0.00,11/21/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"OUTERWEAR, MEN'S",20,$0.00,11/21/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"COT,FOLDING",15,$73.87,12/9/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,FLAT PANEL MONITOR,75,$0.00,12/9/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"LADDER, SCAFFOLDING EQUIP, CONCRETE FORM",7,$0.00,12/19/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"MANIKIN,RESUSCITATION TRAINING",1,$820.65,12/19/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"TRAILER,RECYCLING SYSTEM",1,"$7,500.00",12/19/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"TRAILER,RECYCLING SYSTEM",1,"$7,500.00",12/19/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"LAWN MOWER, RIDING",1,$0.00,12/20/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"TRACTORS, WHEELED",1,$0.00,12/20/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,TRAINING AIDS,1,$0.00,12/20/13
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"INTRENCHING TOOL,HAND",50,$118.21,1/13/14
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,WHEEL AND RUNFLAT,1,"$1,343.00",1/13/14
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,LATRINE TRAILER,1,"$20,000.00",3/9/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,MODULAR SLEEP SYSTE,15,$263.95,3/28/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"MAT,SLEEPING       ",15,$9.02,4/19/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,11 PASSENGER VAN,1,"$12,000.00",5/9/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,MONITOR,20,$200.00,5/9/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,"CABLE ASSEMBLY,POWE",3,$272.87,5/23/12
JACKSON TOWNSHIP POLICE DEPARTMENT,OCEAN,CAMERA DIGITAL DSC P72 SONY,1,$309.00,6/7/12
LAKEHURST POLICE DEPARTMENT,OCEAN,"COT,FOLDING",3,$74.00,5/15/13
LAKEHURST POLICE DEPARTMENT,OCEAN,SLEEPING BAG,10,$66.08,5/15/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER SYSTEM,DIGITAL",2,"$5,796.00",5/22/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"CONE,SAFETY",89,$12.83,6/5/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"PRINTER, LASER",3,$159.86,6/5/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"TOOL KIT,GENERAL MECHANIC'S",1,"$1,743.00",6/5/13
LAKEHURST POLICE DEPARTMENT,OCEAN,LAB INSTRUMENT TEST EQUIPMENT,1,"$125,000.00",6/27/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"HARDWARE, COMMERCIAL",35,$0.00,7/9/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"DETECTOR,RADIAC",35,$27.64,8/26/13
LAKEHURST POLICE DEPARTMENT,OCEAN,FLASHLIGHT,3,$10.09,9/10/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"BANDAGE,GAUZE,IMPREGNATED",100,$41.20,9/19/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"COVERALLS,FUEL HANDLER",4,$249.21,9/24/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"KIT,MTG FLASHLIGHT",15,$62.91,9/27/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"LIGHT,CHEMILUMINESCENT",4,$33.74,10/29/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"KIT,M14,M16 RIFLE M",15,$69.25,10/31/13
LAKEHURST POLICE DEPARTMENT,OCEAN,BUFFER,1,$0.00,11/1/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESEL ENGINE",2,"$3,324.94",11/7/13
LAKEHURST POLICE DEPARTMENT,OCEAN,ELECTRIC LIGHTING FIXTURES,1,$0.00,11/12/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"HARDWARE, COMMERCIAL",17,$0.00,11/12/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"BUNK,BED W LOCKER",2,$913.00,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"OVERALLS,COLD WEATHER",3,$43.22,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"OVERALLS,COLD WEATHER",10,$43.22,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,PADLOCK SET,4,$285.32,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"SHIRT,COLD WEATHER",20,$60.25,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"SUIT,SURVIVAL,COLD",15,$316.40,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"TOWELETTE,CLEANING",4,$62.73,11/14/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"DETECTOR,GAS",1,"$12,734.06",11/26/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"FLOODLIGHT SET,ELECTRIC",2,"$12,000.00",12/23/13
LAKEHURST POLICE DEPARTMENT,OCEAN,"SUIT,CHEMICAL PROTE",20,$100.67,5/11/95
LAKEHURST POLICE DEPARTMENT,OCEAN,"SUIT,CHEMICAL PROTE",20,$64.35,5/11/95
LAKEHURST POLICE DEPARTMENT,OCEAN,CAMO PARTS,11,$24.55,8/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,CARTRIGE DRIVE,1,$199.00,8/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,"$1,000.00",8/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,"$1,000.00",8/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,PRINTER,1,$204.00,8/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"FAX MACHINE, FUJITSU",1,"$1,601.00",9/5/96
LAKEHURST POLICE DEPARTMENT,OCEAN,CPU,1,"$1,490.00",9/26/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER SYSTEM, DIGITAL (LAPTOP)",1,"$1,614.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER SYSTEM, DIGITAL (LAPTOP)",1,"$1,620.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, LAPBOOK",1,"$2,589.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, LAPTOP",1,"$7,500.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, LAPTOP",1,"$7,500.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, NOTEBOOK",1,"$1,499.00",10/28/96
LAKEHURST POLICE DEPARTMENT,OCEAN,DISK DRIVE,1,$600.00,10/30/96
LAKEHURST POLICE DEPARTMENT,OCEAN,ZEITH LAP TOP,1,"$1,014.00",10/30/96
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,"$1,844.00",11/14/96
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,2,"$2,995.00",11/14/96
LAKEHURST POLICE DEPARTMENT,OCEAN,DISC DRIVER,1,"$1,682.00",11/14/96
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,1,"$1,499.00",11/14/96
LAKEHURST POLICE DEPARTMENT,OCEAN,PRINTER,1,$360.00,11/14/96
LAKEHURST POLICE DEPARTMENT,OCEAN,"LINER, WET WEATHER",9,$27.65,1/2/97
LAKEHURST POLICE DEPARTMENT,OCEAN,"LINER, WET WEATHER",9,$27.65,1/2/97
LAKEHURST POLICE DEPARTMENT,OCEAN,"LINER, EXTREME COLD WEATHER PARKA",1,$20.80,4/14/97
LAKEHURST POLICE DEPARTMENT,OCEAN,"PARKA,EXTREME COLD WEATHER",1,$118.00,4/14/97
LAKEHURST POLICE DEPARTMENT,OCEAN,TELEPHONE,1,$675.00,5/22/97
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, LAPTOP",1,"$1,200.00",6/23/97
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,2,$750.00,9/25/97
LAKEHURST POLICE DEPARTMENT,OCEAN,ANTENNA,5,"$1,885.00",10/17/97
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,1,"$1,971.00",2/18/98
LAKEHURST POLICE DEPARTMENT,OCEAN, COMPUTER,1,"$1,895.00",2/23/98
LAKEHURST POLICE DEPARTMENT,OCEAN, COMPUTER,1,"$1,895.00",2/23/98
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER SYSTEM,DIG",1,$851.00,6/21/98
LAKEHURST POLICE DEPARTMENT,OCEAN,"COAT,CAMOUFLAGE PATTERN",66,$19.40,10/2/98
LAKEHURST POLICE DEPARTMENT,OCEAN,MISC EQUIP,10,$20.00,2/17/99
LAKEHURST POLICE DEPARTMENT,OCEAN,POLAROID FILM,13,$10.64,2/17/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"BOOTS, SAFETY",1,$59.60,3/31/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"HAT,CAMOUFLAGE PATTERN",20,$6.95,3/31/99
LAKEHURST POLICE DEPARTMENT,OCEAN,PARKA COLD WEATHER,3,$84.00,3/31/99
LAKEHURST POLICE DEPARTMENT,OCEAN,PARKA COLD WEATHER,4,$84.00,3/31/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"LITTER,RIGID,STOKES",3,$309.87,4/16/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"HOOD, COMBAT",15,$34.75,6/10/99
LAKEHURST POLICE DEPARTMENT,OCEAN,TYPEWRITER,1,$260.70,6/10/99
LAKEHURST POLICE DEPARTMENT,OCEAN,MISC. GORETEX CLOTHES,7,$100.00,6/22/99
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,2,$375.00,7/16/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"BLANKET,CASUALTY",200,$5.34,7/22/99
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP COMPUTER,1,$375.00,7/22/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"TROUSERS,CAMOUFLAGE PATTERN",16,$26.20,7/26/99
LAKEHURST POLICE DEPARTMENT,OCEAN,GENERATOR DISEL,2,"$4,050.00",8/1/99
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,5,"$3,300.00",8/11/99
LAKEHURST POLICE DEPARTMENT,OCEAN,CAMERA DIGITAL,1,$849.00,8/23/99
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP COMPUTER,1,"$1,000.00",8/23/99
LAKEHURST POLICE DEPARTMENT,OCEAN,PRINTER,2,$372.00,8/23/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"BAG,FLYER'S HELMET",3,$14.80,9/2/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"CLUB,POLICEMAN'S",10,$3.00,9/2/99
LAKEHURST POLICE DEPARTMENT,OCEAN,KODAK DATASHOW,1,$350.00,9/2/99
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP COMPUTER,2,$375.00,9/2/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"COMPUTER, LAPTOP",1,$50.00,9/30/99
LAKEHURST POLICE DEPARTMENT,OCEAN,MODEM,3,$429.00,9/30/99
LAKEHURST POLICE DEPARTMENT,OCEAN,POWER ADAPTOR,3,$10.00,9/30/99
LAKEHURST POLICE DEPARTMENT,OCEAN,"BATON, SIDE  HANDLE",6,$34.00,10/19/99
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,$984.00,10/20/99
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,$984.00,10/20/99
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER,1,$100.00,10/20/99
LAKEHURST POLICE DEPARTMENT,OCEAN,POLICE JACKETS,6,$100.00,10/20/99
LAKEHURST POLICE DEPARTMENT,OCEAN,MONITOR,1,$365.00,11/1/99
LAKEHURST POLICE DEPARTMENT,OCEAN,KEYBOARD,4,$150.00,11/8/99
LAKEHURST POLICE DEPARTMENT,OCEAN,MISC ADPE EQUIP,1,$100.00,11/8/99
LAKEHURST POLICE DEPARTMENT,OCEAN,MOUSE,4,$20.00,11/8/99
LAKEHURST POLICE DEPARTMENT,OCEAN,INKJET PRINTER,2,$528.00,11/10/99
LAKEHURST POLICE DEPARTMENT,OCEAN,TAPE DRIVE,3,$150.00,11/10/99
LAKEHURST POLICE DEPARTMENT,OCEAN,PARKA C/W,15,$165.55,1/24/00
LAKEHURST POLICE DEPARTMENT,OCEAN,CHEST AMMUNITION,24,$5.99,2/22/00
LAKEHURST POLICE DEPARTMENT,OCEAN,"SHIPPING AND STORAGE CONTAINER,C",4,$16.17,2/22/00
LAKEHURST POLICE DEPARTMENT,OCEAN,MISC BOOTS,3,$12.00,3/26/00
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,1,"$1,500.00",5/18/00
LAKEHURST POLICE DEPARTMENT,OCEAN,"PARKA, GORTEX",1,"$2,000.00",5/25/00
LAKEHURST POLICE DEPARTMENT,OCEAN,"PRINTER, DESKJET",3,$372.00,6/22/00
LAKEHURST POLICE DEPARTMENT,OCEAN,MISC FIELD GEAR,19,$34.00,7/7/00
LAKEHURST POLICE DEPARTMENT,OCEAN,IMAGE PA PROFIMA,1,"$4,498.00",8/16/00
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,6,$100.00,9/28/00
LAKEHURST POLICE DEPARTMENT,OCEAN,NOTEBOOK,3,$179.00,10/16/00
LAKEHURST POLICE DEPARTMENT,OCEAN,"HAND HELD CPU, PACKARD",1,"$1,000.00",10/20/00
LAKEHURST POLICE DEPARTMENT,OCEAN,RECORDER VCNR16/12 13301979,1,$500.00,10/20/00
LAKEHURST POLICE DEPARTMENT,OCEAN,HAT CAMO,15,$6.80,4/11/01
LAKEHURST POLICE DEPARTMENT,OCEAN,CART,1,$500.00,8/1/01
LAKEHURST POLICE DEPARTMENT,OCEAN,BINOCULAR,1,$46.38,12/19/01
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPRESSOR,1,"$3,449.47",2/22/02
LAKEHURST POLICE DEPARTMENT,OCEAN,FIREMAN HELMET,10,$42.20,2/28/02
LAKEHURST POLICE DEPARTMENT,OCEAN,BINOCULARS,1,$250.00,3/11/02
LAKEHURST POLICE DEPARTMENT,OCEAN,BINOCULARS,1,$250.00,3/11/02
LAKEHURST POLICE DEPARTMENT,OCEAN,CHANNEL TRANCEIVER (HANDHELD),6,$100.00,7/15/02
LAKEHURST POLICE DEPARTMENT,OCEAN,CAMERA,1,$620.00,11/21/02
LAKEHURST POLICE DEPARTMENT,OCEAN,SWEATER,11,$20.00,12/5/02
LAKEHURST POLICE DEPARTMENT,OCEAN,COMPUTER LAPTOP,1,"$1,743.00",9/25/07
LAKEHURST POLICE DEPARTMENT,OCEAN,LAPTOP,1,"$1,754.00",2/24/98
LAKEWOOD POLICE DEPARTMENT,OCEAN,BEAM SHELF,1,$100.00,12/6/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"FENCING, FENCES, GATES AND COMPONENTS",1,$150.00,12/6/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"RACK, COMMERCIAL STORAGE",1,"$10,000.00",12/6/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"SHELF, COMMERCIAL STORAGE",1,$100.00,12/6/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,COMPUTER WORKSTATION,22,"$1,200.00",2/7/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,MONITOR  ,25,$300.00,2/7/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,BATTERY CHARGER,1,"$1,607.29",3/20/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,FORKLIFT,1,"$18,500.00",3/20/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,CASE,1,$42.50,4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,CD DRIVE,4,$150.00,4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,CHARGER,1,$235.00,4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,NETWORK SERVER,3,"$20,000.00",4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,OVERHEAD PROJECTOR,3,"$5,787.00",4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"SWITCH, NETWORK",2,"$1,285.00",4/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"ADAPTER, DIGITAL CONNECTION",5,$55.25,4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"ADP CPU, DIGITAL",1,"$1,999.00",4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,ADP INPUT/OUTPUT AND STORAGE DEVICES,1,$279.00,4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,ADP SOFTWARE,1,"$20,000.00",4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,ADP SUPPLIES,3,$140.00,4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,HUB,7,$435.00,4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,PROJECTION SCREEN,2,$82.00,4/15/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"TRAILER,CARGO",1,"$34,714.00",5/17/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"TIRE,PNEUMATIC,VEHICULAR",1,$357.36,5/30/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"TIRE,PNEUMATIC,VEHICULAR",5,$357.36,5/30/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,"$13,635.00",6/11/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESEL ENGINE",1,"$8,332.00",6/12/13
LAKEWOOD POLICE DEPARTMENT,OCEAN,RADIO,12,$866.00,4/20/95
LAKEWOOD POLICE DEPARTMENT,OCEAN,SHIPPING AND STORAG,84,$22.26,2/8/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"TIRE,PNEUMATIC,VEHI",5,$336.16,2/8/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"CHEST,AMMUNITION   ",144,$11.10,2/14/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,FORD ECONOLINE VAN,1,"$15,000.00",2/29/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"TRAILER,CARGO      ",1,"$8,524.00",2/29/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"GENERATOR SET,DIESE",1,"$20,039.00",3/7/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"FIRST AID KIT,UNIVE",4,$101.64,3/28/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,COVER SEATS,1,$500.00,4/11/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,OFFICE TRAILER,1,"$25,000.00",4/13/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,MONITOR,5,$200.00,5/1/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,"CABLE ASSEMBLY,POWE",2,$272.87,5/24/12
LAKEWOOD POLICE DEPARTMENT,OCEAN,TRAILER,1,"$38,000.00",6/22/12
LONG BEACH TOWNSHIP POLICE DEPARTMENT,OCEAN,BINOCULAR          ,1,$960.00,1/25/95
MANCHESTER  POLICE DEPARTMENT,OCEAN,EYE PROTECTOR,36,$40.00,2/15/96
MANCHESTER  POLICE DEPARTMENT,OCEAN,"KIT BAG, FLYER'S",10,$24.95,6/6/97
MANCHESTER POLICE DEPARTMENT,OCEAN,FIELD PACK,28,$548.59,11/26/13
MANCHESTER POLICE DEPARTMENT,OCEAN,FIELD PACK,40,$548.59,1/21/14
OCEAN CO PROSECUTOR'S OFC,OCEAN,BINOCULAR,4,$667.00,7/20/95
OCEAN CO PROSECUTOR'S OFC,OCEAN,CAMERA,3,"$1,000.00",7/20/95
OCEAN CO PROSECUTOR'S OFC,OCEAN,FIELD JACKET,6,$34.00,3/22/96
